DUID,Power Station Name,Fuel Type,Region,Capacity (MW),CURRENT GEN (MW)
BBTHREE1,Bell Bay Three Power Station,Natural Gas,TAS1,35,0
BBTHREE2,Bell Bay Three Power Station,Natural Gas,TAS1,35,0
BBTHREE3,Bell Bay Three Power Station,Natural Gas,TAS1,35,0
BDL01,Bairnsdale Power Station,Natural Gas,VIC1,47,42.24
BDL02,Bairnsdale Power Station,Natural Gas,VIC1,47,43.2
TVCC201,Tamar Valley Combined Cycle Power Station,Natural Gas,TAS1,208.6,0
TVPP104,Bell Bay Three Power Station,Natural Gas,TAS1,58,0
AGLSOM,Somerton Power Station,Natural Gas,VIC1,170,131.2
BROKENH1,Broken Hill Solar Plant,Solar,NSW1,53.76,0
CLOVER,Clover Power Station,Water,VIC1,29,23.01
DARTM1,Dartmouth Power Station,Water,VIC1,150,172.2
EILDON1,Eildon Power Station,Water,VIC1,60,0
EILDON2,Eildon Power Station,Water,VIC1,60,60.24
MACARTH1,Macarthur Wind Farm,Wind,VIC1,420,7.7
MCKAY1,Bogong / Mackay Power Station,Water,VIC1,-,217.17
NYNGAN1,Nyngan Solar Plant,Solar,NSW1,102.141,0
OAKLAND1,Oaklands Hill Wind Farm,Wind,VIC1,67,12.6
WKIEWA1,West Kiewa Power Station,Water,VIC1,31,29.7
WKIEWA2,West Kiewa Power Station,Water,VIC1,31,29.5
YABULU,Townsville Gas Turbine,Natural Gas,QLD1,160,0
YABULU2,Townsville Gas Turbine,Natural Gas,QLD1,82,0
LYA1,Loy Yang A Power Station,Brown Coal,VIC1,560,552
LYA2,Loy Yang A Power Station,Brown Coal,VIC1,530,523
LYA3,Loy Yang A Power Station,Brown Coal,VIC1,560,554
LYA4,Loy Yang A Power Station,Brown Coal,VIC1,560,553
BW01,Bayswater Power Station,Black Coal,NSW1,660,613.18
BW02,Bayswater Power Station,Black Coal,NSW1,660,595.04
BW03,Bayswater Power Station,Black Coal,NSW1,660,607.54
BW04,Bayswater Power Station,Black Coal,NSW1,660,679.47
STWF1,Silverton Wind Farm,Wind,NSW1,198.94,26.31
BLUFF1,The Bluff Wind Farm,Wind,SA1,52.5,0
HALLWF1,Hallett 1 Wind Farm,Wind,SA1,94.5,0
HALLWF2,Hallett 2 Wind Farm,Wind,SA1,71.4,0
NBHWF1,North Brown Hill Wind Farm,Wind,SA1,132.3,0
TORRB1,Torrens Island Power Station,Natural Gas / Fuel Oil,SA1,200,0
TORRB2,Torrens Island Power Station,Natural Gas / Fuel Oil,SA1,200,0
TORRB3,Torrens Island Power Station,Natural Gas / Fuel Oil,SA1,200,120
TORRB4,Torrens Island Power Station,Natural Gas / Fuel Oil,SA1,200,128
WPWF,Wattle Point Wind Farm,Wind,SA1,90.75,0
BALDHWF1,Bald Hills Wind Farm,Wind,VIC1,106.6,91.21
ARWF1,Ararat Wind Farm,Wind,VIC1,241.59,65.3
BRAEMAR5,Braemar 2 Power Station,Coal Seam Methane,QLD1,173,0.13
BRAEMAR6,Braemar 2 Power Station,Coal Seam Methane,QLD1,173,165.49
BRAEMAR7,Braemar 2 Power Station,Coal Seam Methane,QLD1,173,0.08
BOCORWF1,Boco Rock Wind Farm,Wind,NSW1,113.18,108.15
BRAEMAR1,Braemar Power Station,Coal Seam Methane,QLD1,168,0
BRAEMAR2,Braemar Power Station,Coal Seam Methane,QLD1,168,171.7
BRAEMAR3,Braemar Power Station,Coal Seam Methane,QLD1,168,0
CPP_3,Callide C Nett Off,Black Coal,QLD1,420,0
CPP_4,Callide C Nett Off,Black Coal,QLD1,420,0
CNUNDAWF,Canunda Wind Farm,Wind,SA1,46,2.6
BWTR1,Broadwater Power Station,Bagasse,NSW1,38,4.17
CATHROCK,Cathedral Rocks,Wind,SA1,66,0
CLARESF1,Clare Solar Farm,Solar,QLD1,110.262,0
CALL_B_1,Callide Power Station,Black Coal,QLD1,350,0
CALL_B_2,Callide Power Station,Black Coal,QLD1,350,295.8
GSTONE1,Gladstone Power Station,Black Coal,QLD1,280,250.13
GSTONE2,Gladstone Power Station,Black Coal,QLD1,280,260.18
GSTONE3,Gladstone Power Station,Black Coal,QLD1,280,258.98
GSTONE4,Gladstone Power Station,Black Coal,QLD1,280,0
GSTONE5,Gladstone Power Station,Black Coal,QLD1,280,0
GSTONE6,Gladstone Power Station,Black Coal,QLD1,280,260.04
KPP_1,Kogan Creek Power Station,Black Coal,QLD1,744,696.51
W/HOE#1,Wivenhoe Power Station,Water,QLD1,250,200.95
W/HOE#2,Wivenhoe Power Station,Water,QLD1,250,282.29
CULLRGWF,Cullerin Range Wind Farm,Wind,NSW1,30,16.61
VP5,"Vales Point ""B"" Power Station",Black Coal,NSW1,660,629.32
VP6,"Vales Point ""B"" Power Station",Black Coal,NSW1,660,630.32
BARCSF1,Barcaldine Solar Farm,Solar,QLD1,20,0.1
LRSF1,Longreach Solar Farm,Solar,QLD1,17,0.04
JLA01,"Jeeralang ""A"" Power Station",Natural Gas,VIC1,51,0
JLA02,"Jeeralang ""A"" Power Station",Natural Gas,VIC1,51,0
JLA03,"Jeeralang ""A"" Power Station",Natural Gas,VIC1,51,0
JLA04,"Jeeralang ""A"" Power Station",Natural Gas,VIC1,51,0
JLB01,"Jeeralang ""B"" Power Station",Natural Gas,VIC1,76,0
JLB02,"Jeeralang ""B"" Power Station",Natural Gas,VIC1,76,0
JLB03,"Jeeralang ""B"" Power Station",Natural Gas,VIC1,76,0
NPS,Newport Power Station,Natural Gas,VIC1,500,505.12
GERMCRK,German Creek Power Station,Waste Coal Mine Gas,QLD1,44.976,19.1
MBAHNTH,Moranbah North Waste Coal Mine Gas Power Station,Waste Coal Mine Gas,QLD1,63.42,33.99
YAMBUKWF,Yambuk Wind Farm,Wind,VIC1,30,7.1
MP1,Mt Piper Power Station,Black Coal,NSW1,700,716.4
MP2,Mt Piper Power Station,Black Coal,NSW1,700,652.9
TALWA1,Tallawarra Power Station,Natural Gas,NSW1,440,398
YWPS1,Yallourn 'W' Power Station,Brown Coal,VIC1,360,298.24
YWPS2,Yallourn 'W' Power Station,Brown Coal,VIC1,360,298.24
YWPS3,Yallourn 'W' Power Station,Brown Coal,VIC1,380,375.2
YWPS4,Yallourn 'W' Power Station,Brown Coal,VIC1,380,0
BARCALDN,Barcaldine Power Station,Natural Gas,QLD1,37,0
OAKEY1,Oakey Power Station,Natural Gas,QLD1,141,0
OAKEY2,Oakey Power Station,Natural Gas,QLD1,141,0
GB01,Broken Hill Gas Turbines,Diesel,NSW1,50,0
GANNSF1,Gannawarra Solar Farm,Solar,VIC1,55,0
KSP1,Kidston Solar Project,Solar,QLD1,50,0
GRIFSF1,Griffith Solar Farm,Solar,NSW1,27.2,0
HUMENSW,Hume (NSW) Hydro Power Station,Water,NSW1,29,-0.34
HUMEV,Hume (Vic) Hydro Power Station,Water,VIC1,29,0
GUNNING1,Gunning Wind Farm,Wind,NSW1,46.5,31.38
HPRG1,Hornsdale Power Reserve,Wind,SA1,102.44,38.7
HUGSF1,Hughenden Solar Farm,Solar,QLD1,20.97,-0.06
HDWF2,Hornsdale Wind Farm 2,Wind,SA1,102.4,1.8
HDWF1,Hornsdale Wind Farm,Wind,SA1,102.4,3.1
HDWF3,Hornsdale Wind Farm 3,Wind,SA1,112,3.1
BASTYAN,Bastyan Power Station,Water,TAS1,79.9,68.57
